"module","module_size","overlap","p","FDR","genes"
"23","355","4","0.096727","0.42311","ARVCF;SCARB1;TOMM40;FURIN"
"16","958","8","0.098222","0.42311","NOS3;PCNXL3;PEMT;BMP1;ARVCF;KCNK5;ATP2B1;SMARCA4"
"169","228","3","0.10123","0.42784","SWAP70;PLEKHG1;PHACTR1"
"204","112","2","0.10418","0.42916","PDGFRA;PDGFD"
"40","1643","12","0.10721","0.42916","ADAMTS7;NOS3;PCNXL3;MFGE8;SCARB1;RBPMS2;RAI1;TOM1L2;TNS1;FURIN;SKI;NOA1"
"65","114","2","0.10729","0.42916","LPL;RASD1"
"115","121","2","0.11836","0.46513","TNS1;SMG6"
"155","1018","8","0.12642","0.48825","PLEKHG1;KIAA1462;MAP3K4;TMEM161B;ARHGAP26;ABHD2;COG5;ATXN2"
"170","273","3","0.14958","0.56788","SERPINH1;COL4A2;COL4A1"
"116","278","3","0.15535","0.57996","LPL;COL4A1;RASD1"
"188","36","1","0.16170","0.59378","PARP12"
"50","156","2","0.17719","0.63620","CDKN2B;KIAA1462"
"131","157","2","0.17893","0.63620","PDGFRA;PDGFD"
"9","4449","26","0.18844","0.65955","KCNE2;HHIPL1;NGF;GGCX;APOC4;TRIB1;UBTF;DDX59;LPAL2;WDR12;KCNK5;ZC3HC1;CYP46A1;GUCY1A3;C3orf38;ATP1B1;CUX2;ATP2B1;ANKS1A;PLEKHG1;ABCG5;ABCG8;OAZ2;SLC22A5;RND3;NOA1"
"179","46","1","0.20181","0.68503","MTAP"
"45","170","2","0.20184","0.68503","LPL;SLC22A3"
"164","52","1","0.22496","0.74120","TMEM161B"
"59","1567","10","0.23683","0.74120","ATPAF2;PLG;APOE;PEMT;VAMP8;ATP5SL;SLC22A4;APOC1;C12orf43;APOA1"
"55","190","2","0.23765","0.74120","COG5;MAP4"
"128","56","1","0.24001","0.74120","CNNM2"
"48","57","1","0.24373","0.74120","ZNF652"
"12","57","1","0.24373","0.74120","SH2B3"
"17","57","1","0.24373","0.74120","SMARCA4"
"197","194","2","0.24486","0.74120","COL4A2;COL4A1"
"4","5796","32","0.24847","0.74208","KCNE2;HHIPL1;TOMM40;OAZ2;SMAD3;AKAP13;HIP1;DCPS;APOE;APOB;WDR12;CYP46A1;ATP5SL;ANXA11;NT5C2;ATPAF2;ARVCF;PLEKHG1;FES;ABHD2;CXCL12;PSRC1;NME7;TRAFD1;PEMT;ZNF652;PARP12;SLC22A4;SLC22A5;SERPINH1;SPC24;TRIB1"
"77","5818","32","0.25576","0.74312","KCNE2;TOMM40;MFGE8;GNPDA2;CDKN1A;JAZF1;CYP17A1;OBFC1;DCPS;ADORA2A;APOB;LPAL2;PDE3A;ATP5SL;KSR2;DYNC2LI1;ARVCF;ACSS2;ABO;LDLR;FES;ABHD2;C12orf43;NME7;PEMT;BNC2;SCARB1;OAZ2;SLC22A4;WDR12;UBE2Z;SLC22A3"
"136","699","5","0.25692","0.74312","HSD17B12;EDNRA;C12orf43;PSRC1;IL6R"
"168","701","5","0.25877","0.74312","REST;PDGFD;LPAL2;MAP3K4;BNC2"
"165","708","5","0.26523","0.74533","ZNF507;SWAP70;MAP9;MIA3;MAP3K4"
"163","64","1","0.26927","0.74533","UBE2Z"
"49","209","2","0.27196","0.74533","LRRC2;PROCR"
"139","65","1","0.27284","0.74533","PARP12"
"13","2771","16","0.27833","0.75116","HHIPL1;LIPA;PDGFRA;SMG6;PMAIP1;LMOD1;ZC3HC1;CYP46A1;KIAA1462;CA10;SH2B3;ATP1B1;CXCL12;DYNC2LI1;TCF21;UBTF"
"6","1105","7","0.29593","0.78373","ADORA2A;RASD1;LPAL2;CUX2;ARHGAP26;MAP4;SH2B3"
"92","72","1","0.29740","0.78373","SARS"
"106","395","3","0.30404","0.79192","KCNK5;LPL;LRRC2"
"122","763","5","0.31716","0.81660","VAMP8;SCARB1;SNX10;ABCG5;LY86"
"87","791","5","0.34412","0.84535","ZNF507;COG5;ATXN2;ARHGAP26;MAP3K4"
"119","252","2","0.34906","0.84535","SLC22A4;MAP4"
"88","431","3","0.35205","0.84535","ACSS2;PSRC1;LMOD1"
"153","90","1","0.35682","0.84535","PDGFD"
"19","92","1","0.36311","0.84535","BMP1"
"159","260","2","0.36315","0.84535","MARK4;CYP17A1"
"63","93","1","0.36623","0.84535","BMP1"
"205","94","1","0.36934","0.84535","LPL"
"91","95","1","0.37243","0.84535","ARVCF"
"67","96","1","0.37550","0.84535","LIPA"
"11","1015","6","0.37647","0.84535","PDGFRA;RBPMS2;CDKN1A;PDE3A;ABO;GUCY1A3"
"51","269","2","0.37887","0.84535","LIPA;OBFC1"
"43","99","1","0.38464","0.84535","CAMSAP2"
"97","99","1","0.38464","0.84535","CUX2"
"196","1801","10","0.38494","0.84535","CDKN2B;VAMP8;OAZ2;ABO;PODXL;MCL1;APOC1;GOSR2;HIP1;NT5C2"
"166","1619","9","0.39420","0.85241","HSD17B12;NME7;ATXN2;PKN2;POM121L9P;USP53;COL4A4;DYNC2LI1;ZNF507"
"125","104","1","0.39957","0.85241","SARS"
"56","104","1","0.39957","0.85241","IL6R"
"76","109","1","0.41414","0.87517","MRAS"
"83","497","3","0.43867","0.91096","OBFC1;SMG6;C3orf38"
"52","119","1","0.44224","0.91096","OBFC1"
"36","307","2","0.44328","0.91096","SMG6;SMAD3"
"104","125","1","0.45845","0.92154","ATXN2"
"94","125","1","0.45845","0.92154","TNS1"
"182","126","1","0.46111","0.92154","PROCR"
"53","718","4","0.46647","0.92154","ANXA11;WDR12;FES;RAI1"
"145","129","1","0.46900","0.92154","MCL1"
"89","331","2","0.48204","0.93893","AKAP13;ZNF652"
"213","141","1","0.49943","0.96442","SMAD3"
"27","553","3","0.50865","0.97200","PODXL;KCNK5;PROCR"
"224","147","1","0.51399","0.97200","SPC24"
"184","148","1","0.51638","0.97200","DCPS"
"210","153","1","0.52813","0.97770","LY86"
"151","153","1","0.52813","0.97770","NOA1"
"173","157","1","0.53733","0.98590","TMEM161B"
"218","2246","11","0.54136","0.98590","KCNE2;NME7;PHACTR1;ABCG5;OBFC1;IL6R;CUX2;APOE;SLC22A3;GOSR2;ATP1B1"
"144","166","1","0.55738","0.99882","CNNM2"
"183","166","1","0.55738","0.99882","SLC22A5"
