"module","module_size","overlap","p","FDR","genes"
"14","4424","45","0.23416","0.69633","VSNL1;MSL2;ITGA1;ZNF235;SSFA2;GEN1;N4BP2L2;TRIM58;OR2W3;EDNRA;SCAPER;POC1B;ARHGAP42;C6orf106;PDE3A;SMC6;FAM114A1;DGKH;NGRN;FHL5;ZNF514;ARHGAP26;CALCRL;CEP63;DIRC3;ICA1L;REST;CSNK1G3;PAK1IP1;ZNF827;ATP2B1;PDE8A;NCK1;TAF1A;FAM171B;SEMA5A;ZNF24;FER;NOC3L;ZKSCAN1;SLC5A3;PDE5A;LINC00310;FAM117B;PDZD8"
"121","1040","12","0.24207","0.69633","AOC1;KCNJ13;SDK2;KIAA1324;COL7A1;PREX1;DIRC3;CYFIP2;CDH13;SORT1;TARID;NDE1"
"202","459","6","0.24246","0.69633","GGCX;VAMP5;RPL7A;IL20RB;RPL13;SNRPC"
"125","104","2","0.24492","0.69633","SARS;PSMA5"
"64","31","1","0.24720","0.69633","WNT3"
"217","1954","21","0.24753","0.69633","KCNJ13;SCAPER;GGCX;FAM171B;CEP63;FBN2;CYP4F11;SSFA2;REST;SMC6;GOSR2;CYP20A1;CFHR1;FER;CFDP1;SF3A3;ATP2B1;IL6R;NOC3L;PRSS12;M6PR"
"181","189","3","0.24814","0.69633","RPL7P3;PPP2R1B;PDZD8"
"116","278","4","0.24869","0.69633","TWIST1;DNALI1;LPL;AOC4P"
"16","958","11","0.25957","0.70002","DRG2;ANKRD13B;BMP1;ARVCF;ARNT;PEPD;DMPK;ATP2B1;M6PR;NYAP1;EXOSC5"
"197","194","3","0.26034","0.70002","PCAT19;THG1L;TRIM58"
"26","377","5","0.26133","0.70002","C6orf106;ZNF235;SUMO4;ZNF514;LINC00987"
"122","763","9","0.26251","0.70002","CTSH;VAMP8;PILRA;TARID;LINC01480;SUSD1;MAFB;BTBD16;M6PR"
"195","198","3","0.27016","0.70876","TPO;PCAT19;ST6GALNAC1"
"171","200","3","0.27508","0.70876","ADAMTS7;SDK2;LLGL1"
"206","113","2","0.27528","0.70876","TPO;PCAT19"
"65","114","2","0.27865","0.70929","PPP2R1B;LPL"
"117","389","5","0.28214","0.71011","SNHG18;CYP20A1;RPL7A;SNRPD2;LYRM4"
"58","205","3","0.28743","0.71538","TRIM5;C12orf43;PAK1IP1"
