"module","module_size","overlap","p","FDR","genes"
"55","190","15","0.00078266","0.0054787","IGF1R;STAG1;MACF1;RAB3GAP1;WNK1;SBNO1;COG5;GSK3B;INSR;CEP68;MFAP3;MAP4;PPARA;BTBD7;SOX6"
"97","99","10","0.00090531","0.0061452","VWC2;BMP2;ST6GAL1;CILP2;RALYL;CUX2;ABLIM3;HHIP;NCAM1;DNER"
"27","553","31","0.00098047","0.0064596","WISP1;GLIS3;HP;PODXL;KCNK5;MCTP2;SLC28A3;TCTN1;MEIS1;KLF5;C3;HAS1;DAPK1;PROCR;ANXA9;HPR;CRB2;SLC39A8;GALNT9;GATA6;ROR2;KCNH5;BMP4;PEX5L;SYT4;STK33;CACNB2;TCERG1L;HHIP;DSCAML1;WNT7B"
"33","347","22","0.0011152","0.0071371","RASD1;DNAJC27;CDKN1A;PABPC4;JUND;TLE4;SPRY2;TRIB1;SERPINA3;CACNA1D;ETS2;OSM;JMJD1C;HAS1;KLF9;TSC22D2;LDLR;SLC22A4;RND3;A2ML1;SPTY2D1;MCL1"
"11","1015","49","0.0011991","0.0074609","PDGFRA;GCOM1;PSMD6;RBPMS2;LIPC;GRB14;ITGB3;ARL15;MEIS1;DNM3;CETP;BDNF;CMIP;RMI2;INAFM2;YWHAZ;MTHFD2L;CHD1L;GRK5;PDE3A;CCDC92;CPNE4;NID2;GUCY1A3;DGKI;MAGI2;CADM2;CDKN1A;TTLL7;COL25A1;MYEOV;TSC22D1;DAAM1;GCKR;UBE2E3;ABO;IGFBP2;CHST8;TMEM163;AR;ABLIM3;NXN;FGF2;LYPLAL1;ZNF664;IRS1;GUCY1B3;SWI5;CPS1"
"87","791","40","0.0014326","0.0086730","DNAH11;FUBP1;DOCK7;MFAP3;TNRC6B;AFF1;KIAA1429;MPHOSPH9;ZNF608;MAP3K1;MAP3K4;ARHGAP26;IGF1R;FAM120A;MACF1;STAG1;RAB3GAP1;PBRM1;MMS22L;COG5;NUDT3;ABCB11;BAZ1B;TP53INP1;PPARA;ITPR2;SETD2;USP37;SBNO1;TRPS1;AKAP2;EIF2AK4;GSK3B;WNK1;ABCA1;TP53BP1;BTBD7;ATXN2;HIVEP1;ZNF507"
"31","820","41","0.0015495","0.0089559","COPS8;DOCK6;MADD;ADCY9;NOS3;EDC4;NLRC5;RANBP10;CDC123;CMIP;SKI;GPRC5B;RPTOR;ADAMTS7;SMG6;CERS2;PIGC;RAI1;PLXND1;PFAS;TOM1L2;MAU2;CASZ1;PCNXL3;CELSR2;LMX1B;COL4A2;SUFU;PHLDB1;GALNT2;ATXN2L;LRP1;KCTD15;ADCY3;NYNRIN;ZC3H4;NFIX;UBE3B;ZNF423;SERPINH1;WFS1"
"98","72","8","0.0015686","0.0089559","MVK;ACSS2;PCSK9;HMGCR;MMAB;FADS1;FADS2;NPC1L1"
"140","89","9","0.0015993","0.0089559","HIF1AN;ADCY9;AP3S2;ZFAND3;MAP4;C6orf106;RAF1;BCAS3;GALNT2"
"169","228","16","0.0018415","0.010061","CR2;AKAP6;PLEKHG1;PHACTR1;TLE1;TCTN1;BCL11A;BACE2;CNTNAP2;COBLL1;MACROD2;EBF1;BANK1;C12orf42;SWAP70;SOX5"
"73","63","7","0.0030392","0.016209","ZBED3;TCF7L2;CCDC92;BCL9;ZFHX3;MAP2K5;RREB1"
"60","452","25","0.0034413","0.017927","AGBL4;SFXN2;GIPR;BCAS3;HERPUD1;HIF1AN;ZC3HC1;NIPSNAP3B;BANK1;HDGF;THADA;LAMA1;ACSS2;NUP93;GCKR;TMEM163;TBL2;SUFU;MTCH2;FITM2;UBE2Z;C6orf106;GOSR2;SARS;SYN2"
"113","141","11","0.0041064","0.020905","PECAM1;HHEX;TAL1;RAPGEF4;SOX17;PODXL;MET;NOS3;PCDH17;ITPR2;GPRC5B"
"122","763","37","0.0042146","0.020980","RASGRP1;STAB1;AMPD3;HLA-B;TRAF3;MARCH1;KIF11;MAFB;IKZF1;UGT1A1;LY86;UBASH3B;LILRB2;SNX10;NFE2L3;SLC28A3;MEIS1;PIK3CG;RNF130;MARCKS;ATG7;NLRC3;DAPK1;NR1H3;SLC38A6;ALOX5;AR;TMEM176A;PLEKHO2;PTPN2;DMXL2;ABCG5;SYK;VAMP8;SCARB1;MECOM;PLTP"
"58","205","14","0.0043866","0.021361","AP3B1;C12orf43;MTCH2;GNPDA2;TSC22D2;EIF2AK4;MARK4;GCC1;PBRM1;HMGXB4;CTBP2;SPTY2D1;KIAA1429;CDKAL1"
"186","206","14","0.0045780","0.021819","KCNH5;SEMA3C;NMU;ERBB4;BNC2;SLC28A3;SYT4;CRB2;GALNT9;PEX5L;LAMC2;ABO;HAS1;PROCR"
"123","625","31","0.0061077","0.028227","FURIN;JAZF1;PIGC;ZFAND3;RANBP10;SOX6;MARCH8;GFOD2;GPR146;TNS1;HDGF;RBM38;NPR3;TAL1;TPT1;GRINA;LRRC2;SND1;ACHE;SSBP3;IGF2BP2;GMPR;GALNT10;GNAS;CR1L;OAZ2;ANK1;KANK2;FAM117B;NFIX;LMOD1"
"78","1270","55","0.0062729","0.028227","PCK1;VLDLR;MYO1H;AMPD3;VSTM2A;IQCK;CBLN3;TMEM154;SPRY2;TNIK;CNTNAP2;STXBP6;APOA4;KLHL32;BDNF;KCNK3;MSC;CPPED1;LEP;C18orf42;LRIG1;KCNMA1;CPNE4;DLGAP2;ACAA2;SLC16A13;BMP2;ABCC11;TMEM45B;HOXC4;NPR3;GRID1;ST3GAL4;CAMK1D;SULT1A2;IGFBP2;ATP1B1;DGKB;VEGFA;SATB2;FADS1;UBE2E2;MTCH2;ALK;C10orf107;ABCG8;IRS1;LINC00470;ADRB1;L3MBTL3;NIPSNAP3B;MYO16;MYLIP;CADM1;NPC1L1"
"153","90","8","0.0063006","0.028227","IL20RA;LAMA1;PDGFD;ZPLD1;SFRP5;SYT13;GOLGA7B;GPRC5B"
"217","1954","79","0.0068570","0.030117","BDNF;GGCX;RAD23B;SNX5;ST6GAL1;PPP2R3A;LAMA2;PDS5B;OSBPL1A;SRBD1;AKAP12;KIF11;SWAP70;MAP9;KIAA1429;ZNF12;COBLL1;MPHOSPH9;RNF130;HERPUD1;DDX59;NGF;EVI5;SYNJ2BP;TBX3;ROPN1L;XRCC4;IRF2BP2;CLIP1;MAP3K4;ATG7;JMJD1C;TMEM57;HBS1L;HSD17B4;PKN2;NR1H3;ATPAF2;AP3B1;TTLL7;EHBP1;GRID1;STAG1;CPPED1;RBMS1;LRRC7;REST;IL6R;NEGR1;RNF6;BAZ1B;BCAS3;GORAB;MIA3;ZNF131;FADS1;PTPN2;SETD2;NUFIP1;ATP2B1;RABEP1;SBNO1;BRAP;DICER1;MTIF3;GTF2F2;CAMSAP2;MTMR3;PTPN11;TIMD4;USP53;L3MBTL3;GGNBP2;ANGPTL1;GOSR2;MYO16;SERPINH1;SPTY2D1;ZNF507"
"189","74","7","0.0074173","0.031952","APOH;PLG;AKR1C4;APOC3;ITIH1;APOA1;FOLH1"
"154","930","42","0.0080936","0.033748","HSD17B12;DMRTA1;RAD23B;FHIT;TLE1;SMAD3;PINX1;CSMD1;SFXN2;TOMM20;GABRA4;TSPAN8;YWHAZ;ZNF169;SMG6;PCNXL2;SIK3;WDR12;UBE3B;HIF1AN;SNX29;REEP3;LEKR1;PHACTR1;SCAMP1;MRAS;PRMT7;DTNB;LAMC2;C12orf43;AKAP2;BNC2;SCARB2;DDX42;DGKG;NIPSNAP3A;SLC22A5;PLEKHA7;COPB1;RBMS1;TMEM167A;TCF19"
"195","198","13","0.0081356","0.033748","PECAM1;GPR146;PLEKHG1;TAL1;RAPGEF4;ENPEP;KCNJ2;PODXL;SEMA6A;NOS3;PCDH17;IGF2BP2;FLT1"
"10","10798","365","0.0083772","0.034118","PCSK9;MOV10;FHIT;MFGE8;PRKAG3;PCSK1;LEMD2;DUSP26;SMG6;DLG4;FSCN3;SOX6;CYP46A1;SPTLC3;B3GALT4;GRINA;MACROD1;OSBPL7;AKAP2;GTF2F2;PARP12;ANGPTL4;PLTP;STARD3;HHIP;ELAVL4;ATP2A1;CDKN1A;EDC4;EDNRA;APOE;DGAT2;PEPD;SOX17;BCDIN3D;AKT1;CPPED1;NR1H3;MAU2;A2ML1;KCNK17;KCNQ1;CHST8;COL4A4;VEGFA;COL4A2;COL4A1;VEGFB;ZC3H4;TOP1;NPC1L1;SLC22A5;ZNF423;SLC22A2;SLC22A3;SORT1;NOV;GPSM1;DCST2;LRPAP1;SMAD6;TLE4;MTIF3;AKAP13;CDC123;PLA2G6;TMEM18;ARF5;LAMA1;CTF1;ARVCF;RXRA;LDLR;NOL9;SH2B3;SH2B1;ST7L;MVK;GOSR2;FAIM2;ALK;FITM2;CXXC5;SWI5;LMOD1;LDLRAP1;RBM5;TOM1;PSMD6;PRC1;RPTOR;HERPUD1;FAM60A;RAI1;APOL5;FOLH1;KLF13;ITGB3;NOS3;ITGB6;C10orf35;PLEKHO2;ANK1;LILRA5;FAM58A;OSBPL1A;TNRC6B;TMEM175;EIF3H;ASB3;ADAMTS7;ADAMTS9;ATP5SL;SIX2;PLXND1;HDGF;MTMR3;HMG20A;CDKN2B;CDKN2A;TSC22D1;UBE2R2;HLA-DRB5;ADH5P4;TBL2;FAM120AOS;MTCH2;SCARB1;POM121L9P;PLEKHA7;WFS1;YIPF7;NOA1;NGF;CYB5R2;VWC2;DHX38;CEP68;TRIB1;ZNF169;CCNE1;C11orf53;TPT1;CSK;GCK;IGFBP2;KLC1;PHLDB1;COL16A1;GALNT2;CILP2;DEPDC1;CDKAL1;GAS6;C16orf74;ZFHX3;ITIH1;FLT3;TBX15;HAS1;LINC00461;SKAP1;ASCL2;CELSR2;IL6R;COL5A1;SATB2;SND1;ATXN2L;SLC22A17;RPS3A;CRHR2;C18orf8;STAB1;GOLGA7B;PCBD2;LCAT;LIMS2;MCL1;SMARCA4;SEMA6C;SEMA6A;CEBPA;ARAP1;DHH;PACSIN3;ST3GAL4;PBX4;CALCR;MON1A;TUFM;ZNF652;TOMM40;PMAIP1;EPB41L4B;MYL2;AFF1;APOC1;FURIN;SYNE3;CERS2;CCDC92;IRF2BP2;MARCKS;QPCTL;ATPAF2;CETP;CASZ1;WNK1;PRMT7;TMEM176A;FGFR4;GMPR;KAT8;ADCY5;PSRC1;ADCY3;ADCY9;TCF7L2;ZNF274;ZBTB20;CLVS1;HHIPL1;C3orf67;DOCK6;SEPT9;CMIP;PCNXL3;CHD1L;MEIS1;RNF130;ANXA11;RBM38;GFOD2;GCKR;DDC;DNER;NYNRIN;UBE2Z;MOGAT2;C2CD4B;AGBL4;PPARA;CCR6;TBX5;RAF1;CBLN3;MARK4;BCL7B;ZBED3;SRR;MAST2;ADAM23;NT5DC2;MAEA;GALNT14;LRP1;TRAFD1;EIF2AK4;LINC00470;WDR12;ZMIZ1;ASAP3;INSR;NLRC5;DCPS;KLF14;HIP1;GDF5;SLC16A11;GBE1;SLC16A13;PIGC;ANXA9;MCM6;INO80E;AXIN1;C10orf107;PDK1;NDUFS3;TOM1L2;BCL6;KCNE2;DNAH17;DNAH11;KCNE4;ZFAND6;INAFM2;NTRK2;OAS3;CAPN3;PFAS;CSNK1G2;MYLIP;TSPAN8;NXN;KCTD15;BMP1;GSK3B;NIPSNAP3A;SPC24;RASD1;HLA-C;HLA-B;RBPMS2;RNH1;DNM2;WISP1;CPA6;PVRL2;OSM;FAF1;SBK1;MMAB;ABCG8;GTF3A;HECW1;DSCAML1;FAM120A;TENM2;HFE;VLDLR;GPR146;SGCG;CACNB2;RPL6;GLIS3;DAGLB;MTHFR;PABPC4;HMGA2;HMGA1;FES;POMC;PDZRN4;ACHE;FADS3;FADS2;TNNI3K;METTL8;ADH5;PGPEP1;GPR85;HIVEP1;PGS1;BCL11A;JUND;MSC;RMI2;KCNK5;WARS2;KCNK3;KCNJ12;KCNJ11;TRAF3;MLXIPL;TMEM160;TMEM163;SNRPC;PEMT;ADM;PMVK;ZBTB42;SERPINH1;NFIX"
"185","202","13","0.0095328","0.038131","LIPC;PCNXL2;FN1;CAMK1D;LRP4;VWC2;LMX1B;ATP8B2;HUNK;DNER;PRDM8;ROR2;PROCR"
"70","400","21","0.012063","0.047407","RPTOR;HHIPL1;NOS3;PCNXL3;INS-IGF2;CSK;SKI;ADH5;DNM2;PGS1;ZC3H4;SNX5;MARK4;DHX38;RAI1;LRP1;TOM1L2;AXIN1;NFIX;SMARCA4;CASZ1"
"94","125","9","0.014693","0.056745","MTHFD2L;SIK3;BCL9;SNX29;PHC1;MTOR;TNS1;ZMIZ1;RREB1"
"13","2771","104","0.016571","0.062915","HIST1H4C;PMAIP1;FAM58A;MARCH6;TMEM175;DUSP26;ASB3;SMG6;ADAMTS3;MPP3;CYP46A1;PARK2;PHC1;PTBP2;IL20RA;ZFP64;ZNF664;HMG20A;LIPA;GRINA;ATP1B1;ABLIM3;GATA6;UBR1;CXCL12;POC5;BMP4;KCTD15;TIMD4;GRB14;NIPSNAP3A;ANGPTL3;PLEKHA1;CPS1;CTCF;LGR5;DDX42;DNAJC27;HP;DOCK1;KREMEN1;FAM13A;CHIC2;PVRL2;DYNC2LI1;MMS22L;KCNQ1;MOGAT2;DDC;UBE2E2;GNAS;PRDM5;TP53INP1;BTBD7;CDKAL1;HHIPL1;PDGFRA;TLE1;KIAA1462;GABRA4;HFE;MCTP2;MTHFD2L;MECOM;CBLN3;SGCZ;SMAD6;TCF21;MACF1;GRID1;CTF1;FRK;HMGA1;SH2B3;SFRP5;EIF2AK4;C3orf67;PBRM1;SWI5;LMOD1;HIVEP1;ST6GAL1;PINX1;HHEX;ARL15;KLF12;LPIN2;ZC3HC1;UBTF;FAM60A;PXK;KLF5;PLS1;ZBED3;CA10;TP53BP1;TTC39B;LYPLAL1;DMRTA1;NDUFS3;KANK2;KANK1;SPATA5;BCL2"
"219","851","37","0.020999","0.078397","ATP2A1;AMPD3;TLE4;TMEM154;AKAP12;MCL1;KREMEN1;HIP1;MCTP2;PPP1R3B;RAF1;ZNF608;DGAT2;CACNA1D;ROPN1L;KLF5;ARHGAP26;JMJD1C;MTMR3;NT5C2;TMEM45B;IGF1R;CAMK1D;ALOX5;FAM212B;SULT1A2;TP53INP1;ADM;FSCN3;GALNT14;DICER1;CAPN13;VLDLR;PRDM5;ABCA1;NOV;BCL6"
"15","2476","93","0.022406","0.082262","PMAIP1;KCNE4;PRKAG3;PCSK1;APOC2;INAFM2;GPAM;NR0B2;ADAMTS9;FAM46A;R3HDML;ZFP64;TSC22D1;TSC22D2;RPH3A;ABLIM3;KCTD10;ANGPTL4;HUNK;ZNF274;CYB5R2;RASD1;ANKRD55;CDKN1A;POC5;RBPMS2;TRIB1;FAM13A;CHIC2;RAF1;MEIS1;SOX17;BCDIN3D;OSM;GCC1;RBM38;GFOD2;FIGN;RHOU;PPARG;VEGFA;LRIG1;CILP2;SLC22A4;UBE2Z;PCDH17;PRDM8;C2CD4A;ATP6AP1L;TLE1;TBX3;OBFC1;AKAP12;HFE;CBX1;FLT1;SIK3;TBX15;CITED2;CYP7A1;HP;CADM1;HHEX;TAL1;FRK;NAT2;GNB1;LDLR;SH2B3;ADM;FSCN3;EIF2AK4;ALDH2;GPR85;FAM117B;HIVEP1;IFNGR1;PCBD2;PINX1;INSR;MCL1;SEMA6D;CEBPA;SERPINA3;ETS2;APOL5;NT5C2;ITGB3;TRAF3;UBASH3B;DMRTA1;BCL6;ZNF652"
"173","157","10","0.022769","0.082262","RBM43;PCNXL2;PCBD2;ALCAM;RHOU;TMEM161B;KDM4C;SPRY2;SLC38A6;KLF9"
"205","94","7","0.025148","0.089413","GPAM;PPARG;CLMN;NID2;LPL;ZNF648;CPS1"
"40","1643","64","0.028161","0.098563","NLRC5;RASGRP1;MOV10;MFGE8;RCAN2;DOCK6;SLC38A6;CCDC92;EDC4;STXBP6;STAB1;CDC123;CMIP;SKI;LEMD2;FURIN;RPTOR;ADAMTS7;RARB;PCNXL3;CELSR2;MPP3;ST3GAL4;DNM2;NOS3;SOX17;BCDIN3D;RAI1;PVRL2;SLC16A13;PLXND1;TNS1;PFAS;TOM1L2;MAU2;GFOD2;DHH;RBPMS2;MADD;UBE2E2;COL5A1;SUFU;FADS1;PHLDB1;COL16A1;OSBPL7;MAEA;ATXN2L;LRP1;RBFOX3;ARAP1;KCTD15;ADCY3;SLC22A17;SCARB1;CILP2;NYNRIN;ZC3H4;NFIX;ZNF423;PGS1;WFS1;DCST2;NOA1"
"149","192","11","0.034476","0.11881","RASGRP1;TNFAIP8;NFE2L3;CD47;PIK3CG;TMEM154;DEPDC1;MARCH1;KIF11;BANK1;KBTBD8"
"24","80","6","0.035711","0.12120","CAPZA1;TNFAIP8;IFNGR1;LACTB;CMTM6;CADM1"
"1","81","6","0.037612","0.12575","MOV10;MPP3;LCAT;PLA2G6;SH2B1;INO80E"
"223","125","8","0.038236","0.12595","EIF3H;TPT1;SNX5;RPL6;PSMD6;GTF3A;ZFAND6;TOMM20"
"136","699","30","0.040276","0.13075","HSD17B12;IL20RA;RAD23B;GPC6;CACNA1D;TOMM20;EDNRA;IDE;MSC;RARB;MPP3;ADAMTS9;FBXL17;LMBRD1;HSD17B4;SCAMP1;CD47;REEP3;IL6R;ADAM23;C12orf43;TNNI3K;KAT8;PSRC1;PPP1CB;TUB;NIPSNAP3A;SSR1;KLC1;TMEM167A"
"218","2246","83","0.041360","0.13235","KCNE2;AGBL4;FHIT;MAGI2;PRKAG3;PCSK1;PABPC4;BMP2;SSBP3;TENM2;OBFC1;C10orf35;MARCH1;CCR6;STXBP6;KREMEN1;PARK2;IKZF1;FLT3;VLDLR;ASB3;ZNF536;APOE;C18orf42;ADAMTS3;ULK4;GRK5;WARS2;PIK3CG;HNF1B;ACAA2;LRP1B;MARCKS;SPTLC3;CCL20;TMEM72;ABCC11;THADA;FOLH1;PCNXL2;SLC38A6;PHACTR1;MYEOV;LIPG;DEFB1;BCL11A;NME7;XKR6;CELSR2;UBE2E2;ATP1B1;CUX2;UBASH3B;TP53INP1;TBX15;GATA6;TSPAN8;IL6R;ALK;RSPO3;TMEM163;F3;NCAM1;ABCG5;LRP4;SYK;GRIK1;MTHFD1L;NRXN3;IRS1;SLC17A3;CR1L;SBK1;STK33;CUBN;HECW1;A2ML1;SLC22A3;GOSR2;KCNK3;COL6A5;DGKI;HHIP"
"170","273","14","0.042064","0.13271","ITGB3;KCTD10;SND1;TRAF3;NUP93;ANXA2;GTF3A;ATP8B2;RBM43;COL4A2;COL4A1;FADS3;SERPINH1;DUSP3"
"44","128","8","0.043002","0.13379","ASB4;RBFOX1;ITGB6;SGCG;PPP2R3A;ATP1B1;COL4A4;TBX15"
"152","44","4","0.044809","0.13749","GOSR2;BDNF;DDX59;APOC1"
"2","64","5","0.045808","0.13866","VEGFA;F3;EPB41L4B;PPP1R3B;KLF9"
"23","355","17","0.046779","0.13971","TOMM40;ARAP1;ARVCF;GRINA;GNAS;RXRA;ZFAND3;ZBTB42;PVRL2;SEPT9;CXXC5;VEGFB;SLC16A11;FURIN;SCARB1;NIPSNAP3B;GAS6"
"89","331","16","0.049068","0.14462","PLS1;SBNO1;LINGO2;SIK3;ZNF652;PTPN11;STAG1;AFF1;GSK3B;CLIP1;NDUFS3;CREB1;PPP3CA;BTBD7;SETD2;AKAP13"
"159","260","13","0.057409","0.16701","KCNJ12;NXN;CASZ1;RXRA;SEMA6C;MARK4;CYP17A1;MAST2;PACSIN3;MACROD1;SBK1;RBM38;GMPR"
"3","115","7","0.062982","0.18087","C2CD4B;PMAIP1;CDKN1A;JUND;OSM;TRIB1;MCL1"
"92","72","5","0.069219","0.19627","ANGPTL1;TBL2;SND1;GALNT2;SARS"
"166","1619","60","0.071239","0.19947","HSD17B12;ELAVL4;MAP3K1;CPEB4;HP;POC5;DOCK7;AP3S2;SLC30A8;SACS;TBX5;XKR6;SSBP3;ZNF12;BRAP;MPHOSPH9;HERPUD1;MYLIP;MECOM;DHH;CAMK4;NIPSNAP3B;FBXL17;INSIG2;DGKB;REEP3;DYNC2LI1;HHEX;LIPG;PALM2;SCAMP1;PKN2;ZNF536;COL4A4;TBL2;PIGV;ZNF131;TYW5;UBR1;FTO;GALNT13;SEMA3C;NME7;ALK;ADH5;TIMD4;ATXN2;CALCR;RFX7;POM121L9P;USP53;TCF7L2;ADARB1;ADRB1;DEPDC1;KLC1;ZBTB20;LILRA5;CRHR2;ZNF507"
"197","194","10","0.075209","0.20799","ADCY5;ABLIM3;TLE1;FAM212B;ALDH2;COL4A2;COL4A1;MYO16;SYN2;SMAD6"
"127","75","5","0.079421","0.21696","VAMP8;MARCKS;IFNGR1;TLR4;LY86"
"35","223","11","0.081821","0.22034","PKN2;SNX13;CAMSAP2;STAG1;CREB1;CSNK1G3;REST;KIAA1429;HBS1L;FGF2;ZNF12"
"212","54","4","0.082628","0.22034","LEP;CXCL12;COL4A1;NTRK2"
"184","148","8","0.084689","0.22318","B3GALT4;DCPS;ZFP64;LCAT;ZC3H4;FAM58A;PINX1;FADS2"
"119","252","12","0.087309","0.22741","FOXO3;PPP1CB;POC1B;WNK1;PABPC4;TOP1;SLC22A4;LPIN2;SNX29;MAP4;TMEM57;C18orf8"
"182","126","7","0.091960","0.23677","ANXA2;STAB1;PLTP;TMEM176A;COL16A1;HAS1;PROCR"
"110","283","13","0.095708","0.24231","LYPLAL1;MTHFD2L;ADH5;PSMD6;SPAG16;CSNK1G3;RPS3A;CBX1;SARS;STK39;LMBRD1;MTMR3;KLHL8"
"17","57","4","0.096276","0.24231","FAM120A;SMARCA4;NOTCH2;LRIG1"
"50","156","8","0.10630","0.26458","CDKN2B;ZNRF3;RPL6;RPL27A;KIAA1462;RPS3A;KANK1;CCDC85A"
"22","83","5","0.11027","0.27144","PDZRN4;TENM2;CEP170P1;ETV5;SFRP5"
"187","320","14","0.11527","0.28065","PFAS;INO80E;VPS26A;GTF2F2;PGPEP1;SEMA6C;DHX38;SSR1;GBE1;SLC16A13;NLRC5;ACAD11;OSBPL7;KLHL8"
"26","377","16","0.11807","0.28290","SSPN;HDGF;CYB5R2;FPGT-TNNI3K;C6orf106;UBE2E2;ETS2;BMP4;TBL2;CXXC5;SEMA6D;FAM120AOS;NT5DC2;FLT3;TUFM;PTPRD"
"47","462","19","0.11872","0.28290","RPTOR;ATPAF2;TOMM40;AXIN1;LRPAP1;SCARB1;CELSR2;PRMT7;PDK1;ADCY9;ASAP3;PLTP;CXXC5;PLXND1;SARS;SERPINH1;MMAB;GALNT2;GAS6"
"160","138","7","0.13073","0.30323","LIPC;GRIK1;BARX2;HUNK;CNTN4;NCAM1;DNER"
"163","64","4","0.13183","0.30323","PLEKHO2;HDGF;NUP93;UBE2Z"
"150","64","4","0.13183","0.30323","LIPA;APOE;ABCA1;APOC1"
"206","113","6","0.13266","0.30323","ENPEP;PLEKHG1;SEMA6A;STXBP6;CXCL12;FLT1"
"124","43","3","0.14344","0.32456","TMEM167A;IDE;SEMA6C"
"36","307","13","0.14915","0.33410","KLF13;ITGB3;SMG6;AUTS2;SIK3;GALNT10;UBE3B;SMAD3;SNX29;PHC1;BCL9;MARCH8;CAMK1D"
"138","44","3","0.15066","0.33414","DHX38;UBTF;KANK2"
"63","93","5","0.15567","0.34186","EIF3H;ATG4C;ZBTB10;TOMM20;BMP1"
"52","119","6","0.15749","0.34250","BUD13;UBE2E3;SAMM50;BCDIN3D;OBFC1;FAM120AOS"
"224","147","7","0.16435","0.35398","CCNE1;MCM6;DEPDC1;PRC1;TCF19;RMI2;SPC24"
"132","121","6","0.16618","0.35452","WNK1;MACF1;NUDT3;AFF1;MFAP3;TNRC6B"
"30","372","15","0.16928","0.35773","CHIC2;CCNE1;PMAIP1;MAP2K5;MTHFD1L;WARS2;PTPDC1;FITM2;GPAM;GORAB;ADAM23;EVI5;FADS1;FAM13A;SPATA5"
"83","497","19","0.18889","0.39544","FAM120AOS;SMG6;STK39;IDE;PIK3CG;ZNF274;C3orf38;PDS5B;NAV1;INADL;UBASH3B;NOL9;C4orf33;SUFU;ITPR2;SFXN2;OBFC1;SAMM50;HSD17B4"
"174","439","17","0.19090","0.39593","SKAP1;ALOX5;LILRB2;SNX10;AMPD3;LINC00861;MAP3K1;BCL11A;PIK3CG;SYK;UBASH3B;MARCH1;BANK1;LILRA5;IKZF1;FLT3;CPPED1"
"165","708","26","0.19370","0.39806","FUBP1;PDS5B;MAP3K4;SWAP70;MAP9;AP3B1;SYNJ2BP;PEPD;ARF5;RABEP1;TMEM57;MPHOSPH9;BAZ1B;MIA3;VEGFB;RASA2;SBNO1;XKR6;DICER1;SLC22A17;ZNF507;PBRM1;RNF6;ZNF131;GGNBP2;RNH1"
"51","269","11","0.20266","0.41269","LIPA;LIPC;SOST;HPR;CTF1;SLC28A3;C3orf67;CPNE4;OBFC1;WWOX;SULT1A2"
"131","157","7","0.20567","0.41505","PDGFRA;PDGFD;GALNT13;ADAMTS3;CD47;FAM46A;PDZRN4"
"207","52","3","0.21196","0.41823","UBE3C;HMG20A;FTO"
"164","52","3","0.21196","0.41823","SLC38A6;THADA;TMEM161B"
"56","104","5","0.21285","0.41823","TSC22D1;PCK1;LPIN2;KANK1;IL6R"
"103","334","13","0.22447","0.43724","METTL8;XKR6;MACF1;ERGIC3;COG5;MMS22L;UBE2L3;TNRC6B;EHBP1;TUB;NT5DC2;RASA2;USP37"
"108","307","12","0.23179","0.44759","BMPR1A;NFE2L3;ANKRD55;KANK1;DGKG;SLC22A5;CUBN;WWOX;ANKS1A;HFE;SPC24;NUFIP1"
"59","1567","53","0.23958","0.45708","CDH13;HMGXB4;LRPAP1;TOM1;POMC;LCAT;ERGIC3;FAM58A;COMMD7;PEPD;ITIH4;APOC3;APOC1;AKR1C4;APOA5;APOA1;PLG;APOE;ATP5SL;ARF5;TM4SF5;RNF130;ZMAT4;HDGF;BCL7B;NR1H3;ATPAF2;GRID1;NUDT3;SAMM50;SLC39A8;TMEM176A;MACROD1;STARD3;LAMC2;FAM60A;C12orf43;GMPR;PXK;PEMT;VAMP8;PMVK;ALDH2;SLC22A4;SNRPC;NDUFS3;FGFR4;SWI5;CAHM;DDC;MON1A;TUFM;RNH1"
"76","109","5","0.24078","0.45708","FADS3;ANXA2;WARS2;MRAS;UBE2E2"
"72","56","3","0.24438","0.46001","ZBTB20;TNRC6B;GSK3B"
"53","718","25","0.27938","0.52150","HLA-C;TOM1;DOCK6;AKT1;TMEM175;LEMD2;ARAP1;RAI1;ANXA11;MAEA;TRAF3;CSK;ST3GAL4;ASCL2;RXRA;KCNQ1;CSNK1G2;MCM6;FES;MACROD1;FGFR4;KAT8;TIMD4;WDR12;DCST2"
