"module","module_size","overlap","p","FDR","genes"
"65","114","16","3.9892e-7","0.0000081235","RSPO3;LEP;CEBPA;GPAM;COL25A1;RASD1;ADRB1;MLXIPL;DGAT2;EPB41L4B;CD36;PCK1;PPARG;LPL;PIK3C2G;PROX1"
"8","5920","239","0.0000013652","0.000025484","SSPN;GNPDA2;PRDM5;TYW1B;CD36;RAPGEF4;ATP2B1;MARCH6;RANBP10;MAFB;RASAL2;MAP9;UBR1;INAFM2;RARB;ADAMTS3;SYNJ2BP;FAM46A;SPTLC3;EVI5;TMEM57;LMBRD1;HBS1L;KIAA1456;ERBB4;SCAMP1;DAAM1;TSC22D2;NUP93;GALNT14;CREB1;LPP;NEGR1;CSNK1G3;RPH3A;TBL2;MACROD2;HMGCR;IQCK;TRAFD1;TSPAN8;KLHL8;RSPO3;RBM43;AKAP2;RFX7;NRXN3;GRB14;PTEN;LRRC7;INADL;PLEKHA1;ANGPTL1;LACTB;COPB1;SPTY2D1;HSD17B12;SOX5;CYB5R2;DNAJC27;POC5;HOXC4;PDS5B;DHX38;SLC44A3;SFXN2;IFNGR1;DNM3;SWAP70;SPAG17;XRCC4;MET;DDX59;APOB;ATP8B2;CCNE1;L3MBTL3;FPGT-TNNI3K;GUCY1A3;PCAT1;FBXL17;JMJD1C;PTPRD;DYNC2LI1;THADA;PKN2;EHBP1;TLR4;PALM2;FIGN;NUDT3;ANKS1B;RNF6;PAX6;INSIG2;ACAP2;MIA3;ZNF131;FGF2;ZEB2;ETV1;ETV5;POC1B;GNAS;CAMSAP2;TCF19;USP53;TOP1;EDN3;SLC22A5;DEPDC1;PCDH17;GOSR2;TTC39B;GGNBP2;TMEM133;PDGFRA;GRK5;ATP6AP1L;HDAC9;TNIK;JAZF1;ZFHX3;TMEM161B;SPRY2;SLC4A7;CSMD1;MTIF3;SACS;FOXP2;IDE;ITIH4;ENPEP;MTHFD2L;ZBTB10;SNX13;SNX10;MECOM;ALCAM;TMEM18;PDE3A;DICER1;C4orf33;RABEP1;FANCL;CADM2;TCF21;CADM1;TGFBR3;LYPLAL1;ZBED3;GRID1;FRK;BDNF;GNB1;SRR;ANKS1A;PTBP2;PDZRN4;TYW5;IGF2BP2;PROX1;TRIM66;METTL8;KCNJ2;CAPZA1;VPS26A;GALNT13;SPAG16;ADARB1;ABCA6;FITM2;SARS;ZMIZ1;LMOD1;NPC1L1;CCDC85A;UBE2L3;CPEB4;LEKR1;FOXO3;SRBD1;ARL15;PHACTR1;SEMA6D;GUCY1B3;SOX6;SEC16B;ZNF12;COBLL1;AP3B1;KLF12;HERPUD1;FAM13A;DPYD;TAL1;SMARCA4;ZC3HC1;UBTF;CPNE4;PXK;STPG2;CLIP1;DGKI;DGKB;KANK2;C3orf38;KLF9;PLS1;TTLL7;CEP68;PDGFD;RBMS1;INTS8;REST;ATG4C;CPNE8;POU5F1;GPC6;STK39;SSBP3;SEMA3C;MTAP;RASA2;DMXL2;BRAP;PPP1CB;NCK1;BNC2;CALCR;SSR1;RND3;BCL9;GORAB;PPP3CA;TMEM167A;CMTM6;SPATA5;BCL2"
"32","336","28","0.0000019080","0.000032876","DOCK1;SMAD3;AKAP13;HIP1;MARCH8;SEMA6A;UBE3B;UBE3C;CACNA1D;MAP3K4;NAV1;NID2;CAPN3;HMG20A;IGF1R;FAM120A;MTHFR;BAZ1B;MTOR;PPARA;ABHD2;AKAP2;ZNRF3;NOTCH2;SNX29;HIF1AN;ATXN2;CTCF"
"114","218","21","0.0000039060","0.000062496","GPAM;NPR3;COL25A1;AKAP12;BMPR1A;SCARB2;PTPN11;DOCK1;PTPDC1;OSBPL1A;AR;SFXN2;SATB2;EBF1;EDNRA;REEP3;NTRK2;ZNF664;MAGI2;ABCA8;FLT1"
"77","5818","232","0.0000051799","0.000077354","KCNE2;TOMM40;DNAH11;MFGE8;DAPK1;GNPDA2;WARS2;GCOM1;TYW1B;ERGIC3;PEPD;ABHD2;ACHE;MAFB;TMEM175;LEMD2;INAFM2;RARB;CERS2;GRK5;CACNA1D;COMMD7;SIX2;TNNI3K;IRF2BP2;AMPD3;QPCTL;PTBP2;PRKAG3;PFAS;ST3GAL4;B3GALT4;MAEA;LIPC;CDKN2A;CETP;DAAM1;GRINA;KCNJ11;UBE2R2;NEGR1;TRPS1;TMEM176A;MACROD1;GATA6;VPS26A;C12orf43;NXN;OSBPL7;GMPR;KAT8;NME7;PDXDC1;AKT1;SCARB1;RFX7;SYT4;KAT5;PABPN1;VIM;L3MBTL3;INADL;PLEKHA1;ANGPTL1;STARD3;MVK;WFS1;CTCF;HHIP;FOXP2;ATP2A1;KCNJ12;HLA-B;CDKN1A;FUBP1;DOCK7;RNH1;PGS1;FAM13A;OLFM4;ADORA2A;RASAL2;APOB;WDR12;RAF1;WISP1;KCNMA1;MEIS1;NID2;PVRL2;KSR2;DYNC2LI1;RBM38;INTS8;UBR1;GFOD2;FIGN;KCNK17;GCK;GPR146;KCNQ1;ANKS1B;PAX6;INSIG2;GALNT9;LAMC2;FRMD5;CTBP2;CR2;ZNRF3;CEP170P1;HNF4G;MTHFD1L;TOP1;SLC22A4;ELOVL4;UBE2Z;SLC22A3;SYN2;DSCAML1;GAS6;C2CD4B;PIGV;MYO1H;LRPAP1;TLE1;JAZF1;ATP5SL;SPRY2;TNIK;STXBP6;OBFC1;HFE;VLDLR;ZNF536;LPAL2;CACNB2;PDE3A;ARF5;LRIG1;C4orf33;TOM1;CITED2;CYP7A1;BCL7B;DUSP3;PCAT1;SKAP1;GRID1;ARVCF;MTHFR;ACSS2;LINC00861;GNB1;HOXC4;LDLR;FES;ST7L;TYW5;FADS2;NT5DC2;PROX1;FAIM2;SEMA3C;F3;BUD13;GALNT13;LRP4;TIMD4;SLC22A17;IRS1;AK5;UBE2L3;FITM2;CXXC5;HP;NPC1L1;CCDC85A;GPSM1;HMGXB4;CPEB4;BCL11A;CYP17A1;DAGLB;KIAA1456;GNAT2;MSC;RMI2;SOX5;KLF13;LPIN2;PEMT;TBX3;KCNK3;KDM4C;STK33;METTL8;APOL5;JAG1;TENM2;PACSIN3;FOLH1;DCPS;ITGB3;C10orf35;CALCRL;ANXA9;HPR;HS6ST3;ABO;TMEM160;RAB3D;EBF1;PLEKHO2;HMGA1;RASA2;DMXL2;C10orf107;BNC2;ADM;OAZ2;PMVK;PDK1;SSR1;ZBTB42;PTPRD;KANK1;GORAB;PPP3CA;MON1A;SPATA5;MET"
"155","1018","57","0.0000095962","0.00013435","CDH13;GCOM1;FAM120A;KIAA1462;TMEM161B;FOXO3;INSR;MFAP3;TNRC6B;KIAA1429;SOX6;NCAM1;RREB1;LPIN2;PPP1R3B;ASB4;KANK1;UBE3C;ADAMTS9;KCNMA1;AFF1;PARK2;PXK;MAP3K4;ARHGAP26;ZNF101;IGF1R;DOCK1;MACF1;RAB3GAP1;CUBN;WNK1;COG5;BRAP;ABCB11;BAZ1B;MTOR;ADAM23;PPARA;ABHD2;SBNO1;PLEKHG1;AR;ZNRF3;ATXN2;DDX42;ZNF664;EIF2AK4;GSK3B;INADL;HS6ST3;TP53BP1;BTBD7;BCL6;SPTY2D1;CTCF;BCL2"
"220","74","11","0.000014728","0.00019406","MADD;SIK3;UBE3B;HIF1AN;WNK1;IGF1R;SNX29;MTOR;SORT1;NOL9;HIP1"
"74","124","13","0.00011216","0.0013958","IGF1R;ARVCF;DPYD;ITPR2;ADCY9;ATP8B2;ZFAND3;PACSIN3;MAP4;ANXA11;TNS1;WFS1;GALNT2"
"137","299","22","0.00014806","0.0017456","GGCX;SMAD3;AP3S2;AKAP13;MAP4;MARCH8;MADD;SIK3;UBE3B;NAV1;CAPN3;FTO;TNS1;MTMR3;ITGB3;NUDT3;SYNE3;TRIM66;NOTCH2;SNX29;BCL9;TUB"
"45","170","15","0.00024132","0.0027028","CALCRL;DMRTA1;LRIG1;STK33;NIPSNAP3B;DEFB1;EPB41L4B;VIM;PDK1;PPARG;LRP1B;LPL;SLC22A3;FAM120AOS;ACAA2"
"49","209","17","0.00025467","0.0027165","TGFBR3;LAMA2;SYNE3;STAB1;CAMK1D;LRP4;ADM;LRRC2;ABCA6;NID2;ASAP3;PLTP;C3;KREMEN1;PROCR;ABCA8;HHIP"
