"target_tissue","target_clust","target_gene_symbol","endocrine","source_tissue","source_clust","cor","p","key_driver_FDR"
"LIV",98,"AACS","LEP","VAF",78,0.136069935154775,0.00222541652081853,NA
"LIV",98,"MRPS27","LEP","VAF",78,0.135720265419409,0.00228505557974087,NA
"LIV",98,"CETN2","LEP","VAF",78,0.132421709367549,0.00292382935256696,NA
"LIV",98,"EBP","LEP","VAF",78,0.12744634525119,0.00419789839316729,1.31030044084685e-32
"LIV",98,"IDI2-AS1","LEP","VAF",78,0.125577861910141,0.00479362969431031,NA
"LIV",98,"PGD","LEP","VAF",78,0.124399140591073,0.00520764950382914,NA
"LIV",98,"FLVCR1","LEP","VAF",78,0.123579264703109,0.00551433681272795,NA
"LIV",98,"TMEM55B","LEP","VAF",78,0.120807487796037,0.00667515914979313,NA
"LIV",98,"SCD","LEP","VAF",78,0.115596375602575,0.00946432096073605,7.00644105625394e-10
"LIV",98,"NPC1","LEP","VAF",78,0.104073540777579,0.0195610855562954,NA
"LIV",98,"AP001469.5","LEP","VAF",78,0.10191514642793,0.022255035428595,NA
"LIV",98,"AK7","LEP","VAF",78,0.0906417651718334,0.0421526843168118,NA
"LIV",98,"TKT","LEP","VAF",78,0.0667038540032473,0.135187716903389,NA
"LIV",98,"AC144652.1","LEP","VAF",78,0.0498227895154579,0.264712727984272,NA
"LIV",98,"RAB5B","LEP","VAF",78,0.0248594294554417,0.578048359848046,NA
"LIV",98,"ACACA","EPDR1","VAF",78,0.319987985271301,1.93905193487164e-13,NA
"LIV",98,"SQLE","EPDR1","VAF",78,0.281121773454842,1.37066056200465e-10,NA
"LIV",98,"ELOVL6","EPDR1","VAF",78,0.280355324889795,1.54484415221556e-10,NA
"LIV",98,"FAM213A","EPDR1","VAF",78,0.278914963073529,1.93236903497888e-10,NA
"LIV",98,"FADS2","EPDR1","VAF",78,0.275642883358586,3.19761541603752e-10,NA
"LIV",98,"ADIPOR2","EPDR1","VAF",78,0.275016137696456,3.51879724305622e-10,NA
"LIV",98,"HMGCS1","EPDR1","VAF",78,0.265537261709419,1.45297132812104e-09,5.58412653354701e-30
"LIV",98,"PNPLA3","EPDR1","VAF",78,0.262344677022994,2.31376655779489e-09,NA
"LIV",98,"ACACB","EPDR1","VAF",78,0.25816008383558,4.21806791966222e-09,NA
"LIV",98,"CTD-2636A23.2","EPDR1","VAF",78,0.251921702897814,1.01259178346599e-08,NA
"LIV",98,"NSDHL","EPDR1","VAF",78,0.249167842093608,1.47952235984823e-08,NA
"LIV",98,"TMCO6","EPDR1","VAF",78,-0.248274177989882,1.67165140989702e-08,1.35066712165259e-19
"LIV",98,"HMGCR","EPDR1","VAF",78,0.246503484572781,2.12619264636286e-08,NA
"LIV",98,"ELOVL5","EPDR1","VAF",78,0.246330089913709,2.17664900480539e-08,3.80097933647115e-08
"LIV",98,"FDFT1","EPDR1","VAF",78,0.24554066919462,2.42138907660308e-08,2.12173714047761e-23
"LIV",98,"SREBF2","EPDR1","VAF",78,0.243939180287649,3.00231464325078e-08,5.81378709234782e-05
"LIV",98,"ACSS2","EPDR1","VAF",78,0.241193360122327,4.32575722165281e-08,1.51196304724992e-19
"LIV",98,"TDRKH","EPDR1","VAF",78,0.24009845037576,4.99774340819599e-08,NA
"LIV",98,"FDPS","EPDR1","VAF",78,0.240095187571922,4.99988921316236e-08,NA
"LIV",98,"IDI1","EPDR1","VAF",78,0.239242126096553,5.59254305318572e-08,NA
"LIV",98,"MVD","EPDR1","VAF",78,0.239186532908078,5.63343595758678e-08,1.02325892218297e-27
"LIV",98,"CYP51A1","EPDR1","VAF",78,0.229218817046673,2.02084546265619e-07,NA
"LIV",98,"HSD17B7P2","EPDR1","VAF",78,0.226646930054436,2.78389442689531e-07,NA
"LIV",98,"MVK","EPDR1","VAF",78,0.226013081996084,3.01083997275784e-07,NA
"LIV",98,"MMAB","EPDR1","VAF",78,0.221904064429326,4.97647498344218e-07,NA
"LIV",98,"HSD17B7","EPDR1","VAF",78,0.22138102202934,5.30155576697888e-07,3.2370696429958e-23
"LIV",98,"RUSC1-AS1","EPDR1","VAF",78,0.220229610045131,6.09065725442134e-07,3.9841649730727e-07
"LIV",98,"FADS1","EPDR1","VAF",78,0.217422852274091,8.51533663183681e-07,NA
"LIV",98,"ALDOC","EPDR1","VAF",78,0.215570767382113,1.05970670921062e-06,NA
"VAF",98,"GSR","EPDR1","VAF",78,0.20692917392454,1.44741040216261e-06,NA
"LIV",98,"PI4K2A","EPDR1","VAF",78,0.212435971583744,1.52776274045966e-06,NA
"LIV",98,"NPC1L1","EPDR1","VAF",78,0.211523459652934,1.69767613063721e-06,NA
"LIV",98,"RDH11","EPDR1","VAF",78,0.210009418224727,2.02023236603966e-06,NA
"LIV",98,"ACAT2","EPDR1","VAF",78,0.208597405279967,2.37333735708456e-06,NA
"LIV",98,"TIMM10B","EPDR1","VAF",78,0.20714786023812,2.79691288086525e-06,NA
"LIV",98,"RP11-297N6.4","EPDR1","VAF",78,0.200744413531375,5.6980451225277e-06,NA
"LIV",98,"SCD","EPDR1","VAF",78,0.197746405288276,7.8898251557797e-06,7.00644105625394e-10
"LIV",98,"PCSK9","EPDR1","VAF",78,0.196598391211518,8.92540622801784e-06,2.64487723879423e-17
"LIV",98,"MSMO1","EPDR1","VAF",78,0.195957183093408,9.5589078713138e-06,NA
"LIV",98,"RP11-159F24.2","EPDR1","VAF",78,0.194277636449144,1.1427582142298e-05,NA
"LIV",98,"C14orf1","EPDR1","VAF",78,0.194237734509628,1.14759485152548e-05,2.46883021079664e-40
"LIV",98,"CYB5B","EPDR1","VAF",78,0.193197517391157,1.28077867205361e-05,NA
"LIV",98,"CTD-2235C13.3","EPDR1","VAF",78,0.192281096195662,1.410178992634e-05,NA
"LIV",98,"VPS37D","EPDR1","VAF",78,0.187991080499638,2.19958499342153e-05,NA
"LIV",98,"DHCR7","EPDR1","VAF",78,0.186068247194918,2.67598524305057e-05,NA
